detected,m_VIS_Euclid,log10_mStar,Re_maj,z_source,q_source,n_sersic_source,log_p_gal,source_theta_ell,source_x,source_y,mass_1,mass_2,theta_jn,psi,phase,ra,dec,geocent_time,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,luminosity_distance,pcross,psrc,PdetEM_flag,PdetEM_logL,PdetGW_flag,snr_net,snr_H1,snr_L1,snr_V1,x0_image_positions,x1_image_positions,magnifications,time_delays,image_type,effective_luminosity_distance,effective_geocent_time,effective_phase,effective_ra,effective_dec
False,24.41771125793457,10.151032447814941,0.25662192702293396,1.9790136814117432,0.36089617013931274,1.9068598747253418,-7.978528888911292,1.7379065480627132,-0.004810910671581459,-0.029031559531271206,19.7737562398192,19.19424953258713,1.6363475237672096,0.15885984113412102,3.5099103051891816,3.7929568267879348,0.3385276922055836,1267314177.1165373,0.34741104561952485,0.276394028758375,0.5260973273776013,2.2010141879014555,3.697010962697537,0.6440800317864032,15720.862295965722,-40.447765708818714,15.395087103926251,False,-2013.5424681797836,False,"[0.22004033289874933, 1.0569938959411564]","[0.105033185537878, 0.6450720341904781]","[0.18174145700172895, 0.8351437566968786]","[0.06599864275003572, 0.06044065198562956]","[[-0.001542003457360427, 0.026965397939753985, NaN, NaN]]","[[-0.002504149147800041, 0.07961943987114752, NaN, NaN]]","[[-0.16831285061611442, 1.5250512937790595, NaN, NaN]]","[[0.0, 1.1936598129174248e+16, NaN, NaN]]","[[2.0, 1.0, NaN, NaN]]","[[38319.31401952101, 12730.168087787146, NaN, NaN]]","[[1267314177.1165373, 1.1936599396488426e+16, NaN, NaN]]","[[1.939113978394285, 3.5099103051891816, NaN, NaN]]","[[3.7730624449108037, 3.8032851466495674, NaN, NaN]]","[[0.3047145238526753, 0.38683811287162284, NaN, NaN]]"
False,31.06591033935547,6.083657264709473,0.04082019254565239,2.2434754371643066,0.14734318852424622,3.068948745727539,-1.6090240051418068,0.7174177572832902,0.04648014884676054,0.01378765232119319,25.03341393854864,23.642326218127113,3.0157125101168227,0.2012651937595332,3.601988232626254,1.540383224627697,0.9334310673081141,1246700367.8948064,0.11969975236133577,0.6528169233309858,1.5803988039844108,0.7486272012682463,6.243825228291437,5.847242603952191,18315.59991208343,-36.29155064302671,12.399114523463156,False,-2006.821192065003,False,"[2.3526037130019963, 1.443520269125882]","[1.0444838545151247, 0.8213240446485599]","[0.7652486135950337, 0.8778069684973239]","[1.9642281607488694, 0.7991448599077188]","[[0.030562417281896122, -0.007171553590252556, NaN, NaN]]","[[0.12039990689526472, -0.019759904763219555, NaN, NaN]]","[[2.0487466663676654, -0.43136402508447247, NaN, NaN]]","[[0.0, 6.2572029450802936e+16, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[12796.082110652598, 27886.832408139464, NaN, NaN]]","[[1246700367.8948064, 6.2572030697503304e+16, NaN, NaN]]","[[3.601988232626254, 2.0311919058313572, NaN, NaN]]","[[1.5639367993493496, 1.5005268926634334, NaN, NaN]]","[[1.0060039954111053, 0.8658441837526211, NaN, NaN]]"
False,34.4255256652832,6.3281989097595215,0.04251495376229286,6.000518798828125,0.4388592541217804,1.7608330249786377,-3.1079934424426146,1.9305516679417682,0.010913331864953808,0.02754766517482519,108.26330446543663,103.8067139309058,2.388302479926889,1.7389512091361639,2.3909257099519174,1.0473859003760806,-0.1596557281885134,1247857988.9302018,0.043129572048526924,0.5185017756286171,1.4870077164697433,1.2984382839606545,2.02602980966907,1.7661685768397557,58981.62246240039,-34.33994617576662,11.463223032670832,False,-2006.6344866111083,False,"[1.2884372662914587, 0.3648065701692892]","[0.7243097062892793, 0.22591216663712044]","[0.6548069812167232, 0.26315023653849423]","[0.8406389569212142, 0.113134785162376]","[[0.15590380672791596, -0.01854488793679296, NaN, NaN]]","[[-0.05382132705996578, 0.002872420636454473, NaN, NaN]]","[[1.1824241504666557, -0.0568076242633104, NaN, NaN]]","[[0.0, 2.1569212080978464e+16, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[54241.29744094304, 247464.78222264722, NaN, NaN]]","[[1247857988.9302018, 2.1569213328836452e+16, NaN, NaN]]","[[2.3909257099519174, 0.8201293831570209, NaN, NaN]]","[[1.1004272375851682, 0.9237313374742987, NaN, NaN]]","[[-0.1829905551656718, -0.12629680746925157, NaN, NaN]]"
False,30.43647003173828,6.7019734382629395,0.13538071513175964,1.3643313646316528,0.2781965732574463,3.8138270378112793,-4.054506661098678,2.659456365737183,-0.02275742132804687,0.02063836940012734,18.231618934764395,16.024525597938343,0.9548705109969651,1.0836771551381559,6.079075737218047,3.5288995652535085,-0.3591844057124775,1241195365.4401095,0.16146564710768985,0.4729800841210386,1.5198316028142456,2.521239645113043,1.1351540180419077,1.1875155063764269,9960.132697243384,-33.01987747121082,11.377357471487617,False,-2012.8468867031347,False,"[1.5895488501886987, 2.4261832333245374]","[0.9730099892395825, 1.2051998906857824]","[1.1546251518979276, 1.8246398108009911]","[0.4967472864353558, 1.0509747218635697]","[[-0.013627107612227188, 0.023179428958111942, NaN, NaN]]","[[0.005920274092100692, -0.03351442228206465, NaN, NaN]]","[[-0.6315455237687843, 2.1352329838140762, NaN, NaN]]","[[0.0, 1992706660813655.8, NaN, NaN]]","[[2.0, 1.0, NaN, NaN]]","[[12533.223774124144, 6816.202585978974, NaN, NaN]]","[[1241195365.4401095, 1992707902009021.2, NaN, NaN]]","[[4.5082794104231505, 6.079075737218047, NaN, NaN]]","[[3.503535882606138, 3.5428513840907048, NaN, NaN]]","[[-0.3437267249670883, -0.38316142134125364, NaN, NaN]]"
False,30.321796417236328,6.71795129776001,0.047181468456983566,3.6744942665100098,0.8373056650161743,3.3675270080566406,-3.597380512459594,2.5319797787443297,-0.1227791308171871,-0.03120989149017223,32.919272564964196,32.027853776505594,2.4747307354025034,0.5127670275561163,1.3185118710337356,2.410659311604289,-0.25000913050814705,1249046310.075019,0.5118053628342717,0.17016155989750992,2.226018296268821,2.3094366448310018,3.2794943779056167,1.878651878108945,33147.18829269642,-31.805233514237642,11.871274001222607,False,-2003.1662383304572,False,"[0.7222788969436973, 0.49838178480499346]","[0.3156026109851996, 0.35299364175540277]","[0.32588347433720377, 0.1470463849004515]","[0.5620335915792241, 0.31962048275005384]","[[-0.1490277293415057, 0.09211647590304123, NaN, NaN]]","[[0.15181171839379656, -0.0012263823988859586, NaN, NaN]]","[[1.4345455828968996, -0.4495730040781304, NaN, NaN]]","[[0.0, 2.61169828769872e+16, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[27675.120405269798, 49436.37101107799, NaN, NaN]]","[[1249046310.075019, 2.611698412603351e+16, NaN, NaN]]","[[1.3185118710337356, -0.252284455761161, NaN, NaN]]","[[2.3230941170348878, 2.5719760201424164, NaN, NaN]]","[[-0.13922192670963995, -0.2922600275023225, NaN, NaN]]"
False,30.095537185668945,6.278669357299805,0.06010335683822632,0.925551176071167,0.4258972108364105,6.075226306915283,-3.1619208507401346,0.21665878384864917,0.011289242909125955,-0.042333318325989,15.421161573632775,14.978478894091378,0.6373033217765239,2.4550518750154895,4.213785548258319,4.179838736668685,-0.9128915589388561,1260697024.700903,0.16419799028001078,0.022533413671665416,1.2565805451184302,1.960925884565638,2.7427672274043426,4.823475707315881,6174.259453880415,-31.13823786735688,11.295249615216902,False,-4901550.0,False,"[5.053431393824026, 0.857865245619522]","[3.689526270634324, 0.6885851813302016]","[2.816255389658171, 0.20107409230019163]","[1.9983168744237514, 0.47048106986354965]","[[-0.12240134895340446, -0.008562226606094828, NaN, NaN]]","[[-0.6897017312986825, 0.07866646994789647, NaN, NaN]]","[[2.5429715453078257, -0.16194469449196186, NaN, NaN]]","[[0.0, 7.39591989310862e+16, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[3871.810783590594, 15342.690103577312, NaN, NaN]]","[[1260697024.700903, 7.395920019178323e+16, NaN, NaN]]","[[4.213785548258319, 2.6429892214634227, NaN, NaN]]","[[3.940675321224295, 4.126851143526158, NaN, NaN]]","[[-1.2726055375797183, -0.5042373363331393, NaN, NaN]]"
False,30.378192901611328,6.538396835327148,0.056948721408843994,3.091122627258301,0.48475420475006104,2.2506256103515625,-1.7222537321613807,1.6521632311915153,0.04280284605993452,-0.0034735555583389147,33.89556425683995,33.48354983719794,2.288092877140265,2.745008200714479,5.083994282990107,0.9400835136737293,0.048269912894405624,1252135403.0226064,0.6992366600856548,0.5683926677431709,1.947358180639743,1.3431680191049225,3.9985465876811133,4.367985308724823,26966.550177162324,-37.92286807933954,13.332961352942355,False,-2008.1665873579416,False,"[3.1853665087358527, 4.525325928633532]","[0.8327862762181231, 2.6043698098060215]","[2.6510606778644825, 3.414881262134525]","[1.5572103568238613, 1.4263304735075957]","[[0.04778939117437149, -0.026678743407298495, NaN, NaN]]","[[-0.009857059380480775, -0.029452059498925567, NaN, NaN]]","[[14.282194403765288, -12.834901785020401, NaN, NaN]]","[[0.0, 433205370122240.6, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[7135.557673990116, 7527.124787323585, NaN, NaN]]","[[1252135403.0226064, 433206622257643.6, NaN, NaN]]","[[5.083994282990107, 3.51319795619521, NaN, NaN]]","[[0.9860450517441929, 0.9114900780594344, NaN, NaN]]","[[0.0378195040471163, 0.01822450392867151, NaN, NaN]]"
False,30.3714656829834,7.408486843109131,0.0411798469722271,5.274330139160156,0.2702593505382538,1.2365577220916748,-3.5695092192294346,1.9345871773629093,-0.005926596593690631,0.015726000621409896,65.90843269048302,58.71731039694988,1.6600510757262774,2.827958241557711,5.30886767840327,4.794342753361227,0.28375194579662033,1248999653.4401948,0.6323539272274213,0.1459770207648682,1.4403243683175937,1.1330218530964977,0.37819480785122517,5.421890865753212,50752.35320135225,-34.00791420136991,13.489162147356168,False,-2007.6902379402773,False,"[0.9400555093205907, 0.44725951785124934, 1.3441328609419974]","[0.16981992511460492, 0.2176113676178906, 0.8725959532602288]","[0.6611065194965285, 0.25966969463270784, 0.9877639454466883]","[0.6463773847507749, 0.29198975783640013, 0.26380265027778504]","[[0.060628886555028065, -0.05638523317042011, -0.002850103289514926, NaN]]","[[0.041424801715052945, 0.045298188712553845, 0.06187915288036402, NaN]]","[[3.2755255104222187, 3.574317146167555, -2.9959319263035105, NaN]]","[[0.0, 291781354505274.5, 839964527424868.0, NaN]]","[[1.0, 1.0, 2.0, NaN]]","[[28042.432981395206, 26844.767162342112, 29321.77204860092, NaN]]","[[1248999653.4401948, 291782603504927.94, 839965776424521.5, NaN]]","[[5.30886767840327, 5.30886767840327, 3.7380713516083732, NaN]]","[[4.855877986322217, 4.733989777106499, 4.789754851668653, NaN]]","[[0.3029370045587633, 0.3068103915562642, 0.3233913557240744, NaN]]"
False,28.69610595703125,8.607843399047852,0.06861451268196106,3.641522169113159,0.4004656970500946,2.7166314125061035,-7.975415091036261,2.2588130842683087,-0.04468618457835012,0.008319181858773221,130.75090626391065,43.21341113440916,0.6858998568042185,2.220982005752533,2.272039510043138,4.986032217904487,-0.6271784546845798,1265869759.186793,0.32616934065076797,0.18473248861374564,1.7456711536507625,2.278312089049529,3.7429714533781673,5.324284218514628,32793.81481501493,-37.02924025156606,11.844876802438517,False,-2009.2781728537288,False,"[2.7952323793633997, 2.630381225707219]","[2.1548379812160854, 1.963640160630851]","[1.7693467521692972, 1.7380456213947153]","[0.19851800910274453, 0.20547537580283365]","[[0.004584532801352633, -0.0013742782114217205, NaN, NaN]]","[[0.0390367850571687, -0.014184793137152126, NaN, NaN]]","[[1.947283059637949, -1.5015333225443943, NaN, NaN]]","[[0.0, 2265587735135661.0, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[23500.51593891456, 26762.36272112864, NaN, NaN]]","[[1265869759.186793, 2265589001005420.0, NaN, NaN]]","[[2.272039510043138, 0.7012431832482413, NaN, NaN]]","[[4.989289102785098, 4.981929698419767, NaN, NaN]]","[[-0.6017386423381463, -0.6549602205324672, NaN, NaN]]"
False,28.20525550842285,7.3130412101745605,0.15910902619361877,3.8029801845550537,0.6788550615310669,2.6435976028442383,-6.773649016369259,3.01327589524221,0.019409327436916236,0.01634212870780775,43.53678630337855,36.87469899142942,1.6677031004024092,0.16932030961385602,0.49137438100052094,0.6394111106781698,0.48778569744441025,1258591813.05014,0.6958734339802288,0.3242409061832251,1.9939886342926012,1.7214204829237973,3.1951556735034727,5.5302658490499015,34528.45217962822,-37.54483088242892,10.065250658629822,False,-2009.7569381618853,False,"[1.226455236581095, 0.2812450030555313]","[0.5760578896410118, 0.22984157657390156]","[0.9204869521517189, 0.0743194667629542]","[0.5701346560576482, 0.14404241834195688]","[[0.018549030988834193, -0.0023620372879576594, NaN, NaN]]","[[0.019381280924721224, -0.0076479887436153565, NaN, NaN]]","[[2.3786454243333157, -0.8175466036297262, NaN, NaN]]","[[0.0, 1854980199444704.2, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[22387.84319230614, 38187.46690115596, NaN, NaN]]","[[1258591813.05014, 1854981458036517.2, NaN, NaN]]","[[0.49137438100052094, -1.0794219457943757, NaN, NaN]]","[[0.6549088533174359, 0.6312370035488188, NaN, NaN]]","[[0.4994025576444435, 0.47237328797610695, NaN, NaN]]"
